2023-07-30 19:20:37,0.00%,66.52°C
2023-07-30 19:20:38,3.70%,66.39°C
2023-07-30 19:20:39,0.80%,66.28°C
2023-07-30 19:20:41,0.80%,66.11°C
2023-07-30 19:20:42,0.80%,65.88°C
2023-07-30 19:20:43,2.50%,65.76°C
2023-07-30 19:20:44,2.30%,65.64°C
2023-07-30 19:20:45,0.80%,65.51°C
2023-07-30 19:20:46,0.00%,65.39°C
2023-07-30 19:20:47,0.80%,65.28°C
2023-07-30 19:20:49,0.00%,65.05°C
2023-07-30 19:20:50,0.00%,64.88°C
2023-07-30 19:20:51,0.00%,64.77°C
2023-07-30 19:20:52,0.00%,64.66°C
2023-07-30 19:20:53,0.00%,64.55°C
2023-07-30 19:20:54,0.00%,64.45°C
2023-07-30 19:20:56,0.00%,64.27°C
2023-07-30 19:20:57,0.00%,64.16°C
2023-07-30 19:20:58,1.50%,64.05°C
2023-07-30 19:20:59,0.80%,63.95°C
2023-07-30 19:21:00,3.10%,63.80°C
2023-07-30 19:21:01,0.80%,63.70°C
2023-07-30 19:21:03,0.00%,63.61°C
2023-07-30 19:21:04,2.30%,63.41°C
2023-07-30 19:21:05,5.60%,63.31°C
2023-07-30 19:21:06,0.80%,63.25°C
2023-07-30 19:21:07,1.50%,63.16°C
2023-07-30 19:21:08,0.80%,63.07°C
2023-07-30 19:21:10,0.00%,62.98°C
2023-07-30 19:21:11,0.00%,62.72°C
2023-07-30 19:21:12,0.00%,62.61°C
2023-07-30 19:21:13,1.70%,62.52°C
2023-07-30 19:21:14,2.40%,62.42°C
2023-07-30 19:21:15,2.30%,62.32°C
2023-07-30 19:21:17,3.90%,62.29°C
2023-07-30 19:21:18,6.00%,62.15°C
2023-07-30 19:21:19,3.90%,62.07°C
2023-07-30 19:21:20,1.60%,61.93°C
2023-07-30 19:21:21,6.00%,61.85°C
2023-07-30 19:21:22,1.70%,61.77°C
2023-07-30 19:21:24,0.80%,61.70°C
2023-07-30 19:21:25,0.80%,61.54°C
2023-07-30 19:21:26,8.30%,61.46°C
2023-07-30 19:21:27,3.80%,61.40°C
2023-07-30 19:21:28,0.80%,61.34°C
2023-07-30 19:21:29,0.00%,61.27°C
2023-07-30 19:21:30,0.00%,61.15°C
2023-07-30 19:21:32,18.60%,61.03°C
2023-07-30 19:21:33,0.00%,60.96°C
2023-07-30 19:21:34,4.00%,60.89°C
2023-07-30 19:21:35,9.60%,60.84°C
2023-07-30 19:21:36,11.80%,60.78°C
2023-07-30 19:21:37,3.10%,60.72°C
2023-07-30 19:26:22,56.30%,-127.00°C
2023-07-30 19:26:24,20.50%,-127.00°C
2023-07-30 19:26:25,3.30%,-127.00°C
2023-07-30 19:26:26,0.00%,45.28°C
2023-07-30 19:26:27,0.80%,45.29°C
2023-07-30 19:26:28,9.60%,45.37°C
2023-07-30 19:26:29,0.80%,45.40°C
2023-07-30 19:26:30,3.20%,45.39°C
2023-07-30 19:26:32,2.30%,45.44°C
2023-07-30 19:26:33,11.60%,45.46°C
2023-07-30 19:26:34,0.80%,46.00°C
2023-07-30 19:26:35,1.60%,46.02°C
